,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,15,0.5124962266808489,0.7333333333333333
AAL,3802,21,1.2599236785111436,0.5714285714285714
AAP,4765,17,3.522608306689945,0.7647058823529411
AAPL,5243,18,3.4804892690825118,0.8333333333333334
ABBV,1974,4,0.19950654696920467,0.75
ABC,5243,19,2.207865101891927,0.7368421052631579
ABMD,5223,31,22.301328447821962,0.8387096774193549
ABT,5243,23,5.891926654649026,0.782608695652174
ACN,4854,16,3.026785822555798,0.9375
ADBE,5243,12,1.3108658501231512,0.75
ADI,5243,17,2.3431040973585544,0.5294117647058824
ADM,5243,17,0.7156220511437231,0.7058823529411765
ADP,5243,14,1.2481162782682316,0.7857142857142857
ADSK,5243,21,0.2549605345820321,0.7619047619047619
AEE,5243,14,0.2216632837465841,0.7857142857142857
AEP,5243,15,1.089506035089693,0.8
AES,5243,14,-0.8387186396445329,0.6428571428571429
AFL,5243,17,1.784575455385564,0.7647058823529411
AIG,5243,20,-0.9647547418066309,0.65
AIZ,4216,12,2.5323027437943124,0.8333333333333334
AJG,5243,14,-0.13137463962113508,0.5714285714285714
AKAM,5243,16,-0.9262822316397357,0.6875
ALB,5243,22,3.4870462638120343,0.6818181818181818
ALGN,4972,18,1.168536816458684,0.7222222222222222
ALK,5243,24,2.6704980100244438,0.6666666666666666
ALL,5243,15,0.09081505206913663,0.6666666666666666
ALLE,1752,6,1.2488523327538408,1.0
AMAT,5243,13,-0.5835037526822495,0.38461538461538464
AMCR,,,,
AMD,5233,20,-0.5545077806347376,0.6
AME,5243,13,1.5425725241189996,0.8461538461538461
AMGN,5243,15,1.1230076082204128,0.7333333333333333
AMP,3810,9,1.381335164861549,0.7777777777777778
AMT,5243,15,-0.3472442723756797,0.6666666666666666
AMZN,5243,16,3.5740939779695626,0.875
ANET,1615,5,1.8560213154308791,1.0
ANSS,5233,15,10.329572471384157,0.9333333333333333
AON,5243,22,3.7639966114064345,0.9090909090909091
AOS,5243,19,5.624985679567978,0.8421052631578947
APA,5243,16,-0.70861223227154,0.5625
APD,5243,15,1.662685457902092,0.9333333333333333
APH,5243,18,2.197029368172037,0.7222222222222222
APTV,2254,5,0.9330262079806649,0.8
ARE,5243,17,2.9240277402747408,0.9411764705882353
ATO,5243,16,2.002255060084325,0.8125
ATVI,5243,18,3.0620006622542046,0.7222222222222222
AVB,5243,17,0.18685895181878587,0.7647058823529411
AVGO,2831,10,2.760762530546097,0.9
AVY,5243,18,0.23970371515618988,0.6111111111111112
AWK,3156,11,1.7038558757421054,0.9090909090909091
AXP,5243,19,4.909685810586608,0.8421052631578947
AZO,5243,18,2.684982557085104,0.7777777777777778
BA,5243,18,-0.03720816882828623,0.6666666666666666
BAC,5243,17,-0.023505313123384608,0.7058823529411765
BAX,5243,15,2.0196271362299876,0.8
BBWI,5243,15,-0.501380796678673,0.6
BBY,5243,15,0.27154587251632356,0.6666666666666666
BDX,5243,13,2.0457937116140807,0.9230769230769231
BEN,5243,15,1.1617036976230644,0.6666666666666666
BF-B,5243,21,3.892357903094079,0.8571428571428571
BIIB,5222,15,3.044444728093641,0.8666666666666667
BIO,5233,23,5.056015709801654,0.782608695652174
BK,5243,13,1.015544010398148,0.7692307692307693
BKNG,5243,21,-0.5502667063639849,0.7619047619047619
BKR,5233,19,-0.3158935602349223,0.5263157894736842
BLK,5243,14,1.1576993575861123,0.6428571428571429
BMY,5243,19,0.2709712753735455,0.631578947368421
BR,3430,15,1.7278623341439678,0.8666666666666667
BRK-B,5243,18,2.713463209378432,0.8888888888888888
BRO,5233,17,1.0389837711978058,0.7647058823529411
BSX,5243,15,-0.4049978085770768,0.4666666666666667
BWA,5243,20,3.997925632245252,0.8
BXP,5243,18,0.4631625224254362,0.8333333333333334
C,5243,21,-0.7309192059601488,0.7619047619047619
CAG,5243,19,2.2690472829809263,0.8421052631578947
CAH,5243,16,0.21867294663691242,0.6875
CARR,,,,
CAT,5243,14,-0.28277852673470927,0.5714285714285714
CB,5233,18,7.028178898583151,0.8888888888888888
CBOE,2616,8,0.8329360308342576,1.0
CBRE,4129,10,1.001528862077521,0.8
CCI,5233,24,2.1068381462114254,0.8333333333333334
CCL,5243,22,1.1298303014229392,0.7727272727272727
CDAY,636,1,0.210395209984652,1.0
CDNS,5243,19,0.6908268470273761,0.7894736842105263
CDW,1852,4,0.44659108430681427,0.75
CE,3974,14,1.8812071079351766,0.8571428571428571
CF,3834,10,-0.30677711457095025,0.4
CFG,1539,4,0.15548160739021236,0.5
CHD,5233,20,6.577922170052919,0.95
CHRW,5243,17,5.181794301938257,0.8235294117647058
CHTR,2602,10,1.9855945212585806,1.0
CI,5243,22,0.44047067743767215,0.7272727272727273
CINF,5243,20,2.0629311264857106,0.9
CL,5243,14,1.8448443845759104,0.8571428571428571
CLX,5243,15,2.199873017202303,0.9333333333333333
CMA,5243,14,0.28071705555311055,0.7142857142857143
CMCSA,5243,17,0.8866957006267807,0.7647058823529411
CME,4508,16,2.314162682283678,0.875
CMG,3719,16,2.503709986313081,0.75
CMI,5243,20,9.615024210431448,0.75
CMS,5243,15,0.1202590209959601,0.7333333333333333
CNC,4737,17,1.7502904165601796,0.7647058823529411
CNP,5243,19,0.03397961748403276,0.6842105263157895
COF,5243,18,2.4135290205913704,0.8333333333333334
COO,5243,21,2.912691261080793,0.7142857142857143
COP,5243,14,-0.134060310601066,0.6428571428571429
COST,5243,16,7.205002810223135,0.9375
